,LSTM Train MINMAX RMSE,LSTM Test MINMAX RMSE,ED LSTM Train MINMAX RMSE,ED LSTM Test MINMAX RMSE,BD LSTM Train MINMAX RMSE,BD LSTM Test MINMAX RMSE,CNN Train MINMAX RMSE,CNN Test MINMAX RMSE,Covn-LSTM Train MINMAX RMSE,Covn-LSTM Test MINMAX RMSE,Transformer Train MINMAX RMSE,Transformer Test MINMAX RMSE
0,"[0.018962142435336088, 0.024874080476249467, 0.03012343954418781, 0.03340326303599492, 0.03649411815976343]","[0.03536082836326979, 0.042375194360671435, 0.05052973203471663, 0.054859424937857205, 0.05949497708306889]","[0.018760171242790703, 0.02789790596751181, 0.031838920109799745, 0.03453572979901399, 0.03779145320772793]","[0.03127087702439647, 0.045791469846435645, 0.05091966275433448, 0.054458626962314294, 0.05951955069077725]","[0.0188134830795739, 0.02466062950449496, 0.029985847969123743, 0.029989748973949345, 0.03291432068369584]","[0.02983066833110283, 0.03702316123609055, 0.047142151071702075, 0.05264387999821633, 0.06035317361776403]","[0.027171512831356246, 0.023924151526769157, 0.025169284212762502, 0.027550217790932897, 0.028723995266492355]","[0.06412081483197836, 0.0648557003341205, 0.07180335071602034, 0.09267415507306546, 0.10125063011230807]","[0.020993238320911756, 0.017099542944593704, 0.01774468337554901, 0.02133103465327748, 0.025240928624961932]","[0.04152044525519597, 0.06484549102864155, 0.08347969787629449, 0.11175520027552117, 0.11109400884295237]","[0.040525851151084626, 0.0351576684017951, 0.03312034931319349, 0.040638491048398166, 0.04156304297675683]","[0.15763093011691076, 0.1680484049593459, 0.17901143019758411, 0.19441341137285728, 0.19437095497381363]"
1,"[0.021643691718856314, 0.025733334427132715, 0.0321119035116409, 0.032123800215570826, 0.031154033743938797]","[0.04226834089659909, 0.04842714035653606, 0.06221261674190979, 0.06706927192239222, 0.06929417604495873]","[0.01819824480024052, 0.02516265288847495, 0.029777350814283596, 0.0318653053043291, 0.0353261663331505]","[0.03489338015885383, 0.046277522329101616, 0.0533396571990029, 0.055768135240575105, 0.061267324541064205]","[0.01894032689414942, 0.02547597682716566, 0.029308397377220883, 0.029900295600856035, 0.03235421783280276]","[0.030354265483087527, 0.03861446815359724, 0.04804087886970423, 0.055559824321646696, 0.06460548092834562]","[0.02274561990973961, 0.02095148063082309, 0.021565002958692018, 0.02358566652485072, 0.02833086714453121]","[0.08113300350101223, 0.08821125088692988, 0.10106409536176622, 0.11723871788713866, 0.11401027520253042]","[0.012247465386576784, 0.01499486853056756, 0.01645006064147115, 0.017692804378719923, 0.020881595859243356]","[0.057562028803693786, 0.07385441481965777, 0.10035986568555108, 0.1354543011722381, 0.1455251987988687]","[0.02530826729480413, 0.02094046951492695, 0.026880653802712557, 0.03096506650820725, 0.026709282602803967]","[0.27696092585755594, 0.25384051115020667, 0.24999203945812493, 0.26942438697026144, 0.2804698239267143]"
2,"[0.023038350851455964, 0.029371636003042354, 0.029146837535531114, 0.02778078112807817, 0.027097662656987622]","[0.04276120461931477, 0.05447019888464976, 0.07677788590905281, 0.08383412635453885, 0.0940803070111944]","[0.020712877277772632, 0.026641021222921203, 0.03014540455095466, 0.03164867039487174, 0.03470149090429206]","[0.03826239350976063, 0.05268610234351979, 0.058755635821231805, 0.06082839423221472, 0.06594556032563403]","[0.020652442838172445, 0.027420116568125503, 0.030001977419115308, 0.029923940960560752, 0.03170430490886468]","[0.03400723235949666, 0.043017019413896206, 0.052956542305531436, 0.06305215325289427, 0.07316701684570215]","[0.020152748309348177, 0.019151077533586563, 0.018980385844354263, 0.021036963327022363, 0.024526623707988162]","[0.22583806964710637, 0.3066907433675916, 0.32721334443031064, 0.3371722509844324, 0.3005619450925504]","[0.011990836578878354, 0.014528647337880719, 0.015359073484429053, 0.01619536173304987, 0.018171714050966223]","[0.04961681067149629, 0.09347108481149645, 0.1486412712158925, 0.14049854645728796, 0.14158486290923156]","[0.014564598376916815, 0.014731309930247464, 0.01711997406095927, 0.016927288004125896, 0.020623008084343128]","[0.14561291750257604, 0.14447158114824282, 0.15316487914291058, 0.15484426973926088, 0.15971067623388907]"
3,"[0.02015266283667146, 0.02589745226977332, 0.019464165167556412, 0.02141465167863561, 0.02541362625502423]","[0.04366950094654356, 0.05862013001629752, 0.0864444584346327, 0.10145203687905821, 0.10108418596573363]","[0.021406046414078717, 0.02650351822359342, 0.02361856299785609, 0.02439984100626993, 0.027106811474534254]","[0.037788005987668606, 0.06824445051393255, 0.08643194919193839, 0.09520590442431702, 0.10127832734071235]","[0.022201257953759213, 0.029454635582564, 0.0305547872757367, 0.02891080695803401, 0.03074740896255648]","[0.03783566517480425, 0.04940988661631305, 0.06070515560416266, 0.0750530749813305, 0.08230190983734308]","[0.01913714519640396, 0.019870904668912042, 0.02149190130065081, 0.023283971455046616, 0.025017797020754545]","[0.38971682928874635, 0.41456020143189704, 0.4235257319199057, 0.4461909287725658, 0.4187909904404589]","[0.0111265564373392, 0.014101227380227776, 0.01480340046841947, 0.015131170931881759, 0.0167231294907378]","[0.06307157050996685, 0.08378633401551176, 0.11520648582236676, 0.15603312027229035, 0.14345374801989733]","[0.014751888250473535, 0.016881035119736702, 0.016893235051204124, 0.01960954165174145, 0.02376411491823367]","[0.16283115863938274, 0.16928602349997543, 0.17718165951414303, 0.1832052300219346, 0.19057790255453666]"
4,"[0.021979137448962106, 0.02053569893568244, 0.020722960860593, 0.02239430816364317, 0.024503902241199093]","[0.05363818856399624, 0.07498710298567164, 0.10261784378876768, 0.10463683974503508, 0.10669999711996485]","[0.022350746124402354, 0.02698665009959235, 0.02177367445709926, 0.022561208214710055, 0.025117307764567488]","[0.038714729406024564, 0.07549964320273334, 0.09043389844750888, 0.10089367108057828, 0.10917310441633303]","[0.02262353993052839, 0.030002629855508556, 0.027417527723752506, 0.027093848041519934, 0.02980650346542236]","[0.041698423380427896, 0.05704725535287694, 0.07443364701773346, 0.09398188466964673, 0.09553806008876668]","[0.020628031375798557, 0.020912068135197096, 0.0200840485920981, 0.017031537430970196, 0.018142560640090264]","[0.4412560430460626, 0.4502789028742292, 0.4442659680850095, 0.4476571707778528, 0.42857673911949107]","[0.010524397929744677, 0.01229751654216336, 0.013835054149504727, 0.01380050052920156, 0.0167219737421966]","[0.07872880792889714, 0.1081162688655121, 0.14331256249166047, 0.15951342854122422, 0.13781531246399084]","[0.014401662049880033, 0.015087929825414495, 0.014115328694521239, 0.016743620890074636, 0.01863687247860326]","[0.161291302003989, 0.17310130955425337, 0.18768239864170605, 0.19093738464214166, 0.18648898730267252]"
5,"[0.013922379841243039, 0.01703779001136293, 0.017580779463930492, 0.020976312212246655, 0.022609086129530994]","[0.07374587582589322, 0.09054257650270052, 0.1104030909439841, 0.11517217170520871, 0.11077772089607021]","[0.02365438508083048, 0.023983262450504767, 0.020798417846100828, 0.021239931686720444, 0.024011465276748592]","[0.04287716905601062, 0.07463231284838588, 0.08294909805681544, 0.09006786609405494, 0.08748611692504112]","[0.021760261609683938, 0.026881999707517604, 0.02723688358801873, 0.026566653149209786, 0.02932534595510234]","[0.047715906297798476, 0.06877409263183998, 0.1020543963856868, 0.1136246112593567, 0.11249308241784248]","[0.020095514859728554, 0.02076992976153133, 0.021570788219677523, 0.022620377440912675, 0.024433483618604607]","[0.44878580202182466, 0.4359107898455457, 0.45832450953351367, 0.48270536210077264, 0.46055140799523714]","[0.010836046915665136, 0.012289534507272826, 0.013699445170333021, 0.013925729373705353, 0.016207054034454098]","[0.07100626371011964, 0.09066913670054921, 0.13305690385592606, 0.15373393246509834, 0.11067230718494908]","[0.011207748427811009, 0.011544269544075269, 0.011223385371050307, 0.01592254339729633, 0.011935577189114374]","[0.16398872943670326, 0.17304200504744657, 0.1788613355856578, 0.13987787137782767, 0.14444556785248616]"
6,"[0.013176096361663973, 0.014360882478563458, 0.01638699592193675, 0.018655251269585157, 0.02061411259111372]","[0.0848257176715081, 0.1061137916020699, 0.10927980712174501, 0.10486635959277203, 0.10246592967471672]","[0.025021425792066742, 0.026806547665259414, 0.021595555456008383, 0.02328777769378105, 0.0272517096808495]","[0.053014461353340425, 0.07706757741461068, 0.08880840874743584, 0.0922698945843318, 0.09116294158296129]","[0.01835918286422393, 0.023208457829472395, 0.02371457873363012, 0.025086053157183617, 0.028692379375858168]","[0.05626301357210984, 0.08598123116906646, 0.1359485851782784, 0.13780445462868804, 0.13130676562827753]","[0.01360672506598776, 0.013399736354002104, 0.014112310039277298, 0.016016177192579802, 0.018552887468549075]","[0.42611659862370327, 0.41475709116419957, 0.47252090964716403, 0.517998310613851, 0.5235858049658945]","[0.010230873170944564, 0.011148967644372036, 0.0129716912561668, 0.014047174424019907, 0.016972286223871584]","[0.06543334775944519, 0.15779368582312203, 0.09605243755396298, 0.1240502329273222, 0.1144228069228549]","[0.010229285854169929, 0.01118284283408591, 0.011414058542107657, 0.013823704658379083, 0.012799077150008309]","[0.1571490336960893, 0.17060610786104302, 0.16271941075100485, 0.14291269585184763, 0.1560266440357063]"
7,"[0.024487138344155043, 0.026075111465006448, 0.037234485111165554, 0.03348289633694644, 0.031301006230151834]","[0.08451195830490617, 0.1038937241382404, 0.11107275631105937, 0.11239435278699066, 0.12258943639982074]","[0.023289500715556175, 0.022908647859465718, 0.018801356342119713, 0.021266452442436738, 0.02581360944596167]","[0.06322682919565924, 0.08394499013291831, 0.09599205675118723, 0.09329597398447748, 0.08834821816653876]","[0.01726236221383306, 0.022296112622160885, 0.023046466449500022, 0.024702418059906906, 0.02845414034006316]","[0.05938716066946517, 0.09684295879381284, 0.16462029632471067, 0.16013799691285344, 0.1487902603233129]","[0.012651923880712174, 0.012268699435920627, 0.014037504657682482, 0.01555529833346953, 0.01841225788876234]","[0.4171820425078302, 0.42723068911835865, 0.47607169233004376, 0.5131278970915789, 0.5190243965179556]","[0.009751379083668552, 0.011242734721849895, 0.012742333925872481, 0.013190418772333594, 0.014397547632291806]","[0.109416950901189, 0.29655047705709353, 0.16697266589996962, 0.0958070389781796, 0.29083447125762607]","[0.010719483028099174, 0.010541176144572827, 0.01106740906658536, 0.012425292780762397, 0.011461017420241722]","[0.1451776907019408, 0.15750991928839692, 0.16362822151393952, 0.14215825440201005, 0.15096515750128203]"
8,"[0.011347625566228509, 0.01382615709425553, 0.01616800555557603, 0.017714842919954947, 0.02167098780853515]","[0.09070866048178108, 0.10907632113515438, 0.12242348230179535, 0.10232682588254884, 0.09096600752249245]","[0.020972320383214456, 0.01839977908307247, 0.016674548941548482, 0.017437833864445168, 0.01995230932016307]","[0.07717613031730346, 0.10290323393219099, 0.08705872666653808, 0.08140012702728865, 0.08699319841521168]","[0.016911269269041133, 0.02151439643366106, 0.02349374477694059, 0.024242599383529663, 0.028423941792724974]","[0.06278474802279572, 0.10716119965110175, 0.19070159302477133, 0.19388751675385768, 0.17514387446411114]","[0.014182685591732852, 0.015979757612636123, 0.015576322715911894, 0.015663791822771056, 0.017058419519836714]","[0.44821837071486725, 0.41664673528914625, 0.4516426056604076, 0.48329859561517174, 0.482313748603776]","[0.009639712354032666, 0.01002188293207237, 0.010912943888589608, 0.011644213378563797, 0.012724877627559424]","[0.12071836591527563, 0.3596456210656903, 0.3182462572807439, 0.18665859780135763, 0.4008054820095693]","[0.011401965393909821, 0.010366426407762837, 0.010635470700949319, 0.010802900598972338, 0.011339327195163526]","[0.17741573679500167, 0.18101435497096977, 0.186079314325635, 0.1338711247481537, 0.12229529608829122]"
9,"[0.011181126453756365, 0.014360351146043815, 0.01623326186800665, 0.018323943596229485, 0.019791305453272026]","[0.0871418366680335, 0.11893812071236907, 0.09640406736961434, 0.07401952267732986, 0.07683663589540322]","[0.017292468335207, 0.01573512897870156, 0.016508350554726513, 0.018372499709616325, 0.021305008914492943]","[0.08805491526947277, 0.12076038482712866, 0.08734933558266651, 0.0826941432538327, 0.08658078128415889]","[0.016890449036489917, 0.020531803654541353, 0.02219071617778998, 0.02381731074672405, 0.02818587864033481]","[0.06703627422650058, 0.13419692072185124, 0.18390357802909219, 0.18587459694260403, 0.18645862533141647]","[0.012864915524963268, 0.012720927224260799, 0.01355253244464362, 0.014129633398192733, 0.01517341836339711]","[0.44631592207932513, 0.42630188897960714, 0.4810553988168401, 0.5188076872607922, 0.5238684428472342]","[0.012795367309144207, 0.02299191942361121, 0.02196277185029271, 0.020436398928608376, 0.022884886578211795]","[0.050111821995349734, 0.3259477660227366, 0.2858747430626186, 0.1898597301810778, 0.3448135720250072]","[0.010761645238797806, 0.010487188827317011, 0.010256013634612746, 0.011645271063902757, 0.010805277178763171]","[0.1256905166878486, 0.13458213241379186, 0.15625552413138427, 0.15894868779578503, 0.17096827445727728]"
