,LSTM Train MAPE,LSTM Test MAPE,ED-LSTM Train MAPE,ED-LSTM Test MAPE,BD-LSTM Train MAPE,BD-LSTM Test MAPE,CNN Train MAPE,CNN Test MAPE,Covn-LSTM Train MAPE,Covn-LSTM Test MAPE,Transformer Train MAPE,Transformer Test MAPE,,
0,"[77.62995984035277, 46.19366880964837, 43.23374978000471, 44.02471455198862, 62.0490978857753]","[7.628029438391078, 6.771621812202399, 7.180275521697707, 7.8744085383234435, 9.261580361649854]","[22.663209625112, 22.44793465573448, 15.387482704041973, 14.738280679684044, 15.908556475971643]","[4.827510923975171, 6.041850531227072, 7.078207537108466, 8.143336898272448, 9.076415550493664]","[45.24954816379312, 35.12010055918318, 28.522897781120975, 45.7944148534913, 56.120695460629754]","[4.930433200336382, 6.514289606663135, 6.795144179527103, 7.881306865208806, 9.291662348545675]","[18.08530978765425, 17.3298107720854, 19.562115023563912, 20.70379071457377, 22.80257787907628]","[7.139267851655062, 8.033091993785268, 9.10216598853058, 10.13062374910535, 11.747786519276923]","[19.300757495754112, 21.840530286899387, 17.510174105720424, 21.905456589879822, 17.474125308267347]","[4.166193016576143, 5.931061343490052, 7.472001272864361, 8.753848859105691, 9.845033248141613]","[24.101659205733547, 61.98037037725071, 78.78877690847325, 47.34842388531905, 23.588356777446347]","[7.844249319054773, 7.102002204491607, 8.581939177281859, 9.628191301491466, 11.679229301210256]",,
1,"[64.13815966708724, 66.96276973973121, 87.08313658548673, 111.94187438900722, 92.15477047761875]","[8.381764455104598, 9.395399437644176, 10.377028802065201, 12.323717588863706, 12.001210757283259]","[9.505329161254524, 24.30105539177513, 18.982766413877787, 15.7489071778129, 16.915812273223302]","[3.8438159732166133, 5.424386243428662, 6.774096383725167, 7.735049839960023, 8.780742352900788]","[28.68551675778291, 5.860927170264498, 11.547138492892998, 13.835207812728889, 16.96113616235488]","[5.367489606843821, 6.044064803959195, 7.930094535983981, 8.771214425917458, 10.607191035065934]","[12.60111139195605, 14.976229661321327, 20.677066132364363, 14.87715987385821, 25.17702733030301]","[6.159522380478823, 7.462002824419069, 8.858193482503843, 9.999445264692506, 11.133090195033853]","[16.682008397354455, 17.396841328235265, 16.79688736087782, 16.799994027498656, 20.85977299224705]","[4.569131885971241, 6.426527502215452, 7.926909458276163, 9.261975265715252, 10.629993937863718]","[54.89670311282037, 71.6643252479793, 21.125220311963137, 22.756641977353574, 63.895090069225226]","[7.371974664799246, 8.401162211727344, 10.479579673618518, 12.531838832386862, 15.602037394609772]",,
2,"[39.76107136189594, 12.588665692861378, 47.21009020767145, 35.15108861511161, 24.217866603638267]","[4.583459006759448, 7.117150811224807, 10.335210283645077, 11.054742374562025, 11.570406798111438]","[104.06417256059177, 101.3797321393403, 101.47711341378948, 100.38039568806043, 100.87527096428985]","[8.842745149254894, 9.901079151904941, 10.088560471747744, 10.942899779438314, 11.768989454537117]","[10.246859668204253, 5.435379484358957, 13.930923284937624, 14.970902964796364, 44.276678468447614]","[3.831320135371009, 5.391187287789312, 7.183228410162059, 8.198679526386078, 11.13819240247807]","[22.470851785401813, 20.920773280036176, 23.79974788068627, 22.81446801983069, 25.0142777212428]","[7.977328647623248, 8.55979136027661, 9.653659611008747, 10.227100033216267, 10.9944288697213]","[20.451012810335616, 15.58010396105926, 14.462118065752625, 13.27723130372701, 14.874279084596528]","[4.221919879667786, 6.673434700084761, 8.121090704958574, 9.188679208618513, 10.571486882370703]","[64.57886939075625, 67.68783975133871, 16.67026942061512, 28.290395508206593, 60.823674370686035]","[12.719632439497868, 15.40231127730897, 12.720774401756627, 14.51019557416983, 11.992363563493983]",,
3,"[12.834234100636488, 18.345371524430266, 40.921901456297185, 55.813927574149645, 65.76406318821148]","[4.168223055870375, 6.226314647874547, 8.060694099984651, 9.55592286586083, 11.297442514683079]","[35.11584736307685, 34.1627875740922, 33.348894769584284, 36.37775965785407, 36.33280216655027]","[4.384041881479748, 6.192903249940533, 7.340918394633615, 8.36255810356216, 9.304989038077254]","[11.087839511838972, 24.29981625476008, 14.667779585718268, 12.49505552906829, 23.38641535368497]","[4.253329241114853, 6.141893578414087, 7.0119021815176525, 7.963958731995274, 9.26563281401354]","[28.885173141799292, 26.694511149532936, 20.475138937173693, 20.526832040580363, 22.669005468343506]","[5.942568391567674, 7.13841676107598, 8.43241473910813, 9.468518551099638, 10.490223337166123]","[14.589696391156581, 16.59349507691876, 17.6386548203705, 16.844549310385045, 15.238454224346413]","[4.7099143372798045, 6.4666813789639646, 8.010074450113084, 9.570620735072602, 11.181675606266712]","[72.38918625659946, 18.365337781672277, 25.866310199018315, 19.35573184850244, 33.78398610220927]","[7.186671713584477, 11.890819474747396, 11.920647570833145, 13.31574830632035, 15.062411281329949]",,
4,"[72.68418513188332, 63.24999394945636, 40.69234292905491, 34.864118692397625, 34.315142083882215]","[7.210553724039599, 7.7234962395041515, 8.279261902973474, 9.304694684566511, 10.544097778077013]","[7.30531390035285, 8.612406890358702, 10.965431685242494, 9.479256801237588, 10.313226558105075]","[6.693729434878211, 8.223023035566184, 8.69372172263145, 9.596970232904194, 10.494341948339752]","[66.63144235462529, 68.57014087000174, 53.477923851041595, 52.63934529878712, 84.90938901977671]","[6.247533607663033, 6.812206528645666, 7.20050697813962, 8.15180207674362, 9.725045879467126]","[20.692801233242687, 23.42332486266836, 25.136330138093804, 32.331085166686336, 29.501822657553028]","[7.630491482917972, 8.814009619372232, 9.862351700589752, 11.309864153458845, 11.663626313074907]","[13.418453204756734, 12.275806958184035, 14.388159669155526, 11.406771818162008, 16.62635503456215]","[4.1598423994026055, 6.179591325901428, 7.995093205311993, 9.059854632663981, 10.495967059750928]","[15.469193481451757, 18.790085976714934, 27.262278562464882, 20.863376706948326, 56.24452598191807]","[8.31207251246015, 8.16303198306791, 9.20872649412007, 10.230813198716406, 13.835803262336247]",,
5,"[5.218658772396391, 5.485317663479915, 13.695346034274491, 22.70153064235001, 20.746524484797835]","[4.125688765092399, 6.130723904464261, 7.505328519479883, 8.799315647173794, 9.994552585941886]","[29.51614986005511, 32.20266873081478, 31.224174166574564, 33.27104309619181, 33.936939885091135]","[4.703328211714393, 6.585281664422658, 7.8635665074806615, 8.978760010003858, 9.87477450183237]","[7.506321056611344, 5.577700519807678, 21.973096685388725, 15.458137219254938, 11.176995110407553]","[3.9095882820895143, 5.465494647289377, 6.918999164157653, 8.030272651036281, 9.467679072819767]","[18.92304519256596, 18.956660407564684, 19.531851624072427, 20.114143019867196, 22.462060516680214]","[6.856234034756516, 7.552502559414133, 8.793798257723646, 9.83619144912115, 11.050184498595165]","[23.05964133329898, 30.96329370462452, 50.03925498760938, 52.336154431783285, 34.43301923767055]","[5.523918846972693, 7.0778195425576795, 9.204697897800585, 10.97554670694343, 11.327297462609712]","[19.15670251393462, 31.52818520561264, 18.03069998844954, 27.556856096685806, 40.819359828241616]","[7.191514763775866, 8.418444826034317, 9.834485633020295, 11.215113881266465, 12.913612450820747]",,
6,"[49.24513665391034, 42.91110489871632, 46.05392780642159, 26.934314364688966, 29.32734435236693]","[5.399223459207787, 6.193204429549319, 7.667785825793211, 8.834335619939372, 10.124030430481294]","[39.6856732488393, 34.3852544076679, 36.54102415257237, 34.320971873572695, 33.541992493781706]","[7.509465277462192, 9.37851162229122, 10.038346653516315, 10.923330558090738, 11.618563177150046]","[55.10511566031393, 50.49953121726586, 88.25886314647302, 52.986557717428575, 47.15590066447371]","[6.038975439301294, 6.635446391417219, 8.918978191380708, 8.3313629737796, 9.390515056722258]","[7.5330001969448075, 9.195149506053555, 16.079036836625715, 12.54574597275149, 13.279429881171978]","[6.741655873383008, 7.9974630957518915, 9.813977908911426, 10.422511681847853, 11.104987695906846]","[10.329322684084778, 14.62943389975492, 8.559229846230984, 21.878066156511533, 24.38386487533743]","[4.327101204138406, 6.110414601066876, 7.784207201425505, 9.199121910649454, 10.608516980459552]","[22.041167822172522, 30.891621406234844, 24.07686202377249, 24.67608717629704, 28.78964420427757]","[7.827928084831005, 8.558884450981854, 9.68543678785789, 11.023875577354382, 12.006199503541957]",,
7,"[38.551759572925704, 35.76495955195176, 35.62680555011228, 13.342654367602544, 28.09109935496664]","[5.5756448824251015, 6.774340761294029, 7.9903480778546445, 8.95351816895845, 10.443525720764764]","[22.14222051131175, 25.571560081809324, 27.50903546627532, 30.82164800578217, 32.9101462972029]","[5.421576630550829, 8.050953682710714, 8.925656835706256, 9.767234006629884, 10.452234144274106]","[21.475620962469012, 6.053222237066266, 10.626017063103376, 32.077308424126194, 26.949344194650553]","[4.203342397712795, 5.80197354442211, 7.34154613303411, 8.2367442401269, 9.369374841293784]","[9.546559581558268, 10.659481160153938, 16.95064106037649, 20.323515472460343, 16.469563501935184]","[7.2104393163929155, 9.511216336900558, 10.982178647567688, 12.973979877505268, 14.840872471509348]","[8.64467503092006, 7.542503074667513, 11.744049970732323, 13.690835607175373, 15.765376080819824]","[4.338158762339471, 6.1077685411038445, 8.42886783989758, 9.388758992389157, 10.728568166917448]","[22.96787348567323, 30.522880324969172, 36.89005263755145, 31.508659181877807, 42.738873549758935]","[7.7350191629973235, 9.015745160654069, 10.624627962592179, 12.369667944872557, 13.133320937603962]",,
8,"[20.655811779029527, 18.055187230436804, 10.695314255350352, 9.685538187900605, 10.975568877655553]","[4.239042588357179, 5.898208374107066, 7.761024589978661, 9.362813117100197, 10.67268152434962]","[23.923565847531, 21.302917938532957, 22.90121954662709, 21.600263491152848, 20.976227269334053]","[4.83759219637983, 7.2576768249974135, 8.625374549167944, 9.682908221356756, 10.56582418947214]","[36.91499719072186, 36.016255015965896, 43.388399856101266, 44.06279953026298, 55.36232789353714]","[4.291293605895347, 5.831740146967028, 7.483433652807693, 9.050459764628368, 10.955908717338392]","[32.71181618263505, 23.425164325082033, 21.091288087968497, 17.71807625664853, 26.618294156215015]","[6.4981080809528065, 7.819740989301422, 9.172723857028185, 10.736281456002356, 11.973412388051125]","[13.323918699122911, 13.657526208106773, 18.26064694061357, 10.902793465328333, 13.668985071288153]","[5.572907663208014, 6.693071564911611, 8.560637743573295, 9.406656774171237, 10.630640034588883]","[108.98432903524764, 62.73173013140322, 93.02095138186881, 58.73962654718006, 34.703008097009366]","[10.268388498948076, 8.669927739288841, 11.64481979470401, 9.923079706358232, 10.036354206198322]",,
9,"[10.475436475526871, 10.598950689319203, 27.546046382421295, 15.68423796437445, 15.964309198972423]","[4.264426609765766, 6.016374738545278, 7.653233296759833, 8.890618468682279, 9.952949090660946]","[4.590648414355362, 5.691730893028691, 7.070479577493403, 7.819518748775509, 8.630089057800841]","[3.966590710179209, 5.804645394228159, 7.596834152283281, 9.043530656674081, 10.17866364845378]","[14.360044455437194, 31.31441101298472, 25.66468557629013, 25.42413420622794, 23.04011419124713]","[3.9966426053695456, 5.918992057871601, 7.299998754151503, 8.707986904325635, 10.038116318420476]","[18.493845698651228, 7.847915281706595, 11.276610186578983, 14.891416856330236, 15.772636657312642]","[6.320504922045424, 7.633343306334403, 9.07264561489475, 10.642668151844486, 12.101216432140596]","[21.29402598499449, 14.998821717130081, 21.01112178415357, 11.048084169817432, 21.65587692374468]","[4.694330645880605, 6.105307627118718, 7.764625653941952, 9.250602845795978, 10.817853202838696]","[35.53322541792227, 15.213072073727481, 24.376780371453933, 25.964705401980474, 42.58844762004115]","[8.451818972978048, 8.209126696482418, 10.001888054498908, 12.79973010136016, 11.555280480710838]",,
